Tournament Name,day1,day2,day3,day4,Yardage,Par,Rating
THE CJ CUP in South Carolina,66,67,67,67,7655,71,79.0
WM Phoenix Open,73,67,70,70,7261,71,74.7
The Genesis Invitational,67,69,73,71,7322,71,75.6
Arnold Palmer Invitational presented by Mastercard,73,69,68,70,7466,72,76.4
Wells Fargo Championship,68,73,71,72,7538,71,77.2
the Memorial Tournament presented by Workday,72,68,70,75,7571,72,77.3
RBC Canadian Open,71,67,66,72,7264,72,73.0
U.S. Open,65,67,69,70,7423,70,76.0
